站点编号,站点名称,平面坐标系x,平面坐标系y,起始时间,结束时间,降雨量
F1070,汽车北站,431606.338,2889760.369,2017/11/2 15:30:00,2017/11/2 15:40:00,0
F1070,汽车北站,431607.338,2889761.369,2017/11/2 15:40:00,2017/11/2 15:50:00,0
F1070,汽车北站,431608.338,2889762.369,2017/11/2 15:50:00,2017/11/2 16:00:00,0
F1070,汽车北站,431609.338,2889763.369,2017/11/2 16:00:00,2017/11/2 16:10:00,0
F1070,汽车北站,431610.338,2889764.369,2017/11/2 16:10:00,2017/11/2 16:20:00,0
F1070,汽车北站,431611.338,2889765.369,2017/11/2 16:20:00,2017/11/2 16:30:00,0
F1070,汽车北站,431612.338,2889766.369,2017/11/2 16:30:00,2017/11/2 16:40:00,0
F1070,汽车北站,431613.338,2889767.369,2017/11/2 16:40:00,2017/11/2 16:50:00,0
F1070,汽车北站,431614.338,2889768.369,2017/11/2 16:50:00,2017/11/2 17:00:00,0
F1070,汽车北站,431615.338,2889769.369,2017/11/2 17:00:00,2017/11/2 17:10:00,0
F1070,汽车北站,431616.338,2889770.369,2017/11/2 17:10:00,2017/11/2 17:20:00,0
F1070,汽车北站,431617.338,2889771.369,2017/11/2 17:20:00,2017/11/2 17:30:00,0
F1070,汽车北站,431618.338,2889772.369,2017/11/2 17:30:00,2017/11/2 17:40:00,0
F1070,汽车北站,431619.338,2889773.369,2017/11/2 17:40:00,2017/11/2 17:50:00,0
F1070,汽车北站,431620.338,2889774.369,2017/11/2 17:50:00,2017/11/2 18:00:00,0
F1070,汽车北站,431621.338,2889775.369,2017/11/2 18:00:00,2017/11/2 18:10:00,0
F1070,汽车北站,431622.338,2889776.369,2017/11/2 18:10:00,2017/11/2 18:20:00,0
F1070,汽车北站,431623.338,2889777.369,2017/11/2 18:20:00,2017/11/2 18:30:00,0
F1070,汽车北站,431624.338,2889778.369,2017/11/2 18:30:00,2017/11/2 18:40:00,0
F1070,汽车北站,431625.338,2889779.369,2017/11/2 18:40:00,2017/11/2 18:50:00,0
F1070,汽车北站,431626.338,2889780.369,2017/11/2 18:50:00,2017/11/2 19:00:00,0
F1070,汽车北站,431627.338,2889781.369,2017/11/2 19:00:00,2017/11/2 19:10:00,0
F1070,汽车北站,431628.338,2889782.369,2017/11/2 19:10:00,2017/11/2 19:20:00,0
F1070,汽车北站,431629.338,2889783.369,2017/11/2 19:20:00,2017/11/2 19:30:00,0
F1070,汽车北站,431630.338,2889784.369,2017/11/2 19:30:00,2017/11/2 19:40:00,0
F1070,汽车北站,431631.338,2889785.369,2017/11/2 19:40:00,2017/11/2 19:50:00,0
